"filename", "language", "HTML", "TypeScript JSX", "TypeScript", "XML", "PostCSS", "MS SQL", "Java", "Markdown", "comment", "blank", "total"
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseMaterial.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseObject.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseProjectTask.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseProjectVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseResourceRequestVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseRiskAssessmentVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseRole.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseSafetyIncidentVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseSupplier.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseUserVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseVoid.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AssignPermissionsToRoleDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -15, 0, -8, -23
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AssignRolesToUserDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -15, 0, -8, -23
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AttachmentControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -46, 0, -23, -69
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AttachmentVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -27, 0, -8, -35
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AuthControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -40, 0, -23, -63
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Equipment.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -35, 0, -8, -43
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/EquipmentControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -188, 0, -99, -287
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/EquipmentCreateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -25, 0, -8, -33
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentRecord.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -29, 0, -8, -37
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentRecordControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -114, 0, -61, -175
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentRecordCreateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -19, 0, -8, -27
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentReportControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -114, 0, -61, -175
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentReportCreateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentReportVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -31, 0, -8, -39
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageEquipment.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageExperimentRecord.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageLab.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageMaterial.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageProjectVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageResourceRequestVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageSafetyIncidentVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageSupplier.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageUserVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Lab.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -23, 0, -8, -31
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/LabControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -185, 0, -99, -284
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/LoginRequestDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -15, 0, -8, -23
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/LoginResponseVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -15, 0, -8, -23
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Material.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -29, 0, -8, -37
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/MaterialControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -151, 0, -80, -231
